Price,Locality,Area,latitude,longitude,BHK,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft,Price_per_SqFt,Avg_Price,Avg_Price_Per_SqFt,Listing_Count,Price_Tag
6000000.0,"Vaishali, Ghaziabad, Delhi NCR",1050.0,28.648794,77.3425322478785,2.0,2.0,2.0,Ready to Move,Resale,,,,,Flat,"
                    
                    
                    
                       near matro station only 300 meters, all daily requirements and amenities available within 500 meters, chimney, fans fitted,
                    
                ",5714.285714285715,5714.285714285715,5371000.0,5485.22,10,Fair Market Price
7400000.0,"Sohna Road, Gurgaon, Sector 33, Gurgaon, Delhi NCR",1275.0,28.28709602355957,77.06906127929688,2.0,2.0,2.0,Ready to Move,New Property,1.0,Semi-Furnished,2.0,On main sohna roadjust before central park flower valleyg. D. Goenka,Flat,"
                    
                    
                    
                       The very best ready to move in property on sohna road sector 33 with all amenities & basically the theme is kid centric.
                    
                ",5803.921568627451,5803.921568627451,8450000.0,6068.63,2,Fair Market Price
6400000.0,"Sector 76, Noida, Sector 76, Noida, Delhi NCR",1455.0,28.570142,77.3862730013034,3.0,2.0,3.0,Ready to Move,Resale,1.0,,2.0,"Near Prateek Wisteria Sector-77 Noida,      4 km Noida City Centre Metro Station",Individual House,"


                                Multistorey Apartment has unblocked view on front, facing Garden/Park, Pool. Situated at 10th floor, this property is East facing. The type of ownership is Leasehold. Additional space for Puja Room is available. Reserved covered car parking for residents available. The Multistorey Apartment is newly constructed. High quality flooring of types Vitrified, Wooden, Ceramic Tiles are available in different rooms. The location has easy access to, National Bank (2 km ), Nagendra Institute of Technology (3 km ), Noida City Centre Metro Station (4 km ) and Life Line Hospital (6 km ).
                            
more

",4398.625429553264,4398.625429553264,7200000.0,4914.5,4,Fair Market Price
19000000.0,"Dwarka, New Delhi - Dwarka, Delhi NCR",1768.0,28.5934318343359,77.0442727572328,3.0,2.0,,Ready to Move,Resale,2.0,,2.0,Opposite Bensups hospital; 500 meters walk from Metro station.,Flat,"


                                The balcony of the drawing room and of one of the bedrooms open towards a park and a side road with lush green trees. The balcony of the other bedroom opens towards the stretch towards the main gate.The property is just opposite Bensups hospital. It is walking distance  of 500 meters from Sector 12 metro station, is at a stones throw from the main market.
                            
more

",10746.606334841628,10746.606334841628,13384000.0,8718.55,5,Overpriced (>20% above avg)
10500000.0,"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, Sector 45, Noida, Delhi NCR",1850.0,28.548787,77.346032,3.0,4.0,2.0,Ready to Move,Resale,2.0,,3.0,Near by NRI Residency sector 45 Noida,Flat,"


                                Intelligently constructed, this 3BHK apartment located in Sector 45, Noida is up for sale. Nestled in one of the happening localities, this abode is a fine dwelling to spend a comfortable and good life with your family. Why delay? Grab this wonderful opportunity right away and move in with your loved ones. Property SpecificationsFavoured with ample sunlight and cross-ventilation, this apartment rests on the 10th floor. Planned to suit the living needs of any family, this contemporary home with decent interior designs is beautiful. Further, this semi-furnished apartment comes with spacious rooms that can be further tailored as per your personal taste. The smartly planned layout of this flat incorporates 3 bedrooms, 3 bathrooms, 4 balconies, 1 living cum dining area, 1 servant room and 1 kitchen. Shiny, durable and flawless, wooden and vitrified tiles are used to cover the flooring of this abode and gives a striking look to the interiors. Groomed with necessary fittings and geysers, the attached bathrooms are western-styled. Placing your accessories and other clothes will be very convenient because there are wardrobes available in the bedrooms. Also, the master bedroom is covered with classy wooden flooring. To spend some quality time with your family and friends, there are airy balconies that are connected to the living room and bedrooms. This abode is up to date with electrical fittings like lights and fans. More importantly, the entire layout is Vastu-compliant, thereby ensuring a healthy and prosperous living for its occupants. FacilitiesRound the clock water supply, 2 covered parking slots, 100% power backup, security and other amenities are available. LocalityIt enjoys good connectivity via the Noida Expressway and its service road. Dadri Main Road is another key road quite close from Sector 45. In addition, the Botanical Garden metro station, which operates both Blue & Magenta Lines, is only 4 km away and can be reached in 10 minutes. Hence, Sector 45 enjoys sound connectivity via roads and the metro rail network. Besides, one can connect with the vital DND Flyway in just 15 minutes from the sector.Various apartment complexes have their own retail arcades for the convenience of residents. These include shops and stores catering to daily household needs. The sector also has a presence of a few playschools and restaurants. Apart from this, several academic institutions, hospitals and malls are quickly accessible from here.
                            
more

",5675.675675675676,5675.675675675676,9750000.0,5581.74,2,Fair Market Price
5500000.0,"Indirapuram, Ghaziabad, Delhi NCR",1350.0,28.6493479,77.3696259,2.0,2.0,,,Resale,,Furnished,,,Flat,"
",4074.074074074074,4074.074074074074,5144382.02,4967.61,89,Fair Market Price
4320000.0,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1040.0,28.509118,77.413416,2.0,2.0,3.0,Ready to Move,New Property,1.0,,2.0,"located on noida expresswaynear by sector 137 metro station, noida",Flat,"
                    
                    
                    
                       one of the most developed sector on expressway, complete amenities on place, over 1000 families already moved  in, 25 acre developed park in front of the project
                    
                ",4153.846153846154,4153.846153846154,5201428.57,4985.67,14,Fair Market Price
3500000.0,"Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",950.0,28.579593,77.445197,2.0,2.0,3.0,Ready to Move,Resale,,,3.0,Ace City,Flat,"


                                Well-placed in one of the premium residential townships and close to all the key amenities, this spacious and well-maintained 2 BHK flat for sale in Nirala Greenshire, Greater Noida West, Greater Noida is the right place to move in with your family.Property SpecificationsWell-designed rooms and also decked with good quality interiors and fixtures, this residential flat is worth considering. Furthermore, this residential flat is truly appealing and is also relatively new with construction age less than 5 years.Exquisitely designed, this east facing residential flat with 100 feet in front is inclusive of 2 well-designed bedrooms, 2 western bathrooms, 3 well-aligned balconies, living & dining area, and a sleek kitchen appointed with gleaming granite slab and sink.Of the 2 bathrooms, one is with the bedroom while the other is available for common use. Offering unmatched views of the pool and the garden are the 3 balconies, of which one is with two bedrooms, one is connected to the hall while the other is linked with the kitchen serving as a utility. Vitrified tiles are covered in all the rooms to give this flat a chic look.FacilitiesCovered (mechanical) parking slot is available for placing your vehicle comfortably. This residential apartment is benefited with round the clock water supply, power backup, security with CCTV surveillance, lift facility, pool, gym, club house, optical fibre, and piped gas.LocalitySituated in one of the prime residential locales of Greater Noida, this residential complex enjoys close proximity to various parts of the city. Public transport facilities and local bus stops lie within the short distance, while the metro station is available within 15-20mins of walking distance. You will find some of the reputed schools and colleges across the road. Well-known hospitals, clinics and the nursing home are available within 500m. Exclusive shopping malls, and the supermarkets are accessible within 500m radius. Popular banks as well as the ATMs are also available within 500m from this premise.
                            
more

",3684.2105263157896,3684.2105263157896,4125000.0,3723.05,4,Fair Market Price
3000000.0,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",900.0,28.685449,77.5092258,2.0,2.0,3.0,Ready to Move,Resale,1.0,,2.0,Columbia Hospital,Individual House,"
                    
                    
                    
                       2 BHK flat for sale in Ghaziabad
                    
                ",3333.333333333333,3333.3333333333335,3100000.0,3350.88,2,Fair Market Price
10000000.0,"Paschim Vihar, New Delhi - West, Delhi NCR",1000.0,28.6677244,77.0979515,2.0,2.0,,Ready to Move,Resale,,Unfurnished,,,Individual House,"


                                Ideal for any nuclear family or couples, here is the most fantastic 2BHK flat up for sale and is located in one of the prime residential suburbs of Paschim Vihar, New Delhi. So, without any further delay, seize this property as early as possible to lead a plush & tranquil lifestyle with your treasured family…!Property Specifications Spanning across 1000sqft of a super area, this charming flat is completely ready to move in and is comfortably rested on the 3rd floor of the 4-storeyed building thus receives ample sunlight & air throughout the day.Masterfully planned, this unfurnished flat encompasses 2 bedrooms, 2 bathrooms, a living cum dining area, PNG gas connection, cemented flooring and a regular kitchen with a granite platform & sink unit. Both the bedrooms are well-sized that gives you the flexibility of decorating the interiors as per your choices & taste. Among the 2 western style bathrooms, 1 is attached and the other is for common usage.FacilitiesCommon parking space is allotted for this residence to accommodate your vehicles systematically. A sufficient amount of water supply for 24hours is provided in this flat. Security guard is appointed to keep a close watch on this society.LocalityYou can find numerous leading schools within a radius of 1km to provide the best education to your kids. Many notable hospitals are accessible within 1km for any medical assistance. Also, the market is available within 1km to buy your essentials and daily requirements.Plenty of major banks and ATM centers are found within 1km to meet your monetary services. To commute to other parts of the city conveniently, you can access the metro station at a distance of 2kms and several means of transportation like autos, buses & taxis within the short range from this residential property.

more

",10000.0,10000.0,8460000.0,9286.52,5,Fair Market Price
